0,Tag,,"place to go, itinerary, where to stay, how to travel"
15,"Theatre, Dance & Music from Lune and Traditional Vietnamese Water Puppets.",,"The Lune Theatre productions that you can catch in Saigon, Hanoi and in a purpose-built performance space in Hoi An. These shows are magical and beautiful, featuring traditional music and instruments, dance, drama and more. For example, “The Mist” beautifully illustrates the life of rice farmers in the Mekong Delta. You can book Lune tickets in advance for Hoi An. There are 4 different shows that rotate through Lune’s current 3 theatres in Vietnam. Vietnamese water puppet shows is great for kids and a lot of fun. These short performances are traditional and well worth seeing."
16,Visas for Vietnam,Overview,Vietnam isn’t as easy as other countries in South East Asia when it comes to visas plus one of the more expensive countries to enter. Visa on arrival only for a two-week holiday and for a certain nationalities. Vietnam requires a little forward planning for long-term travellers.
17,Visas for Vietnam,Types,"2 Week, E-Visa, 3 Month, Multiple Entry and More"
18,Visas for Vietnam,Warning,"Please read the information below and do your own research for your country. We’re as current as we can be, but lots of regulations changes. Visa requirement change constantly, please double-check information with Sherpa or another reputable visa company."
19,Visas for Vietnam,Visas,"Visitors to Vietnam can visit a Vietnamese embassy to buy their Visa, or arrange an e-visa approval online which they must then produce on arrival. The embassy in London would charge $100 US for each 3 month visa. That was significantly more expensive than using the agency."
20,Visas for Vietnam,Travel Agency,"The agencies don’t actually issue the visas but give you an authorization letter from the Vietnamese immigration department which allows you to receive a visa on arrival. Airlines are strict and won’t let you on the plane without either a full visa or authorization letter. You pay a small fee to the agency to get the letter emailed to you but risk of getting wrong mail contains other people’s details such as name, date of birth and passport number as agency will apply for multiple travellers. The costs are normally between $20 and $25 US for the authorization letter. You then need to pay the stamping fee (from $20 for a single month to $25 for a three-month single entry visa) on arrival in Vietnam where the actual visa is stuck into your passport. The multiple entry visas attract a higher stamping fee approximately $50 US. All the stamping fees need to be paid in cash in US $.The authorization letter only works if you are flying into an international airport. It will not work at land crossings. For that you’ll need to have a visa in your passport from an embassy or you will only be entitled to the free 15 day visa on arrival (certain counties only)."
21,Food in Vietnam,,"Specialties included pho, mi quang, banh xeo and bun bo Hue. The best food in Vietnam comes from street stalls, it’s what the locals eat and inexpensive. Do not expect a menu, these stalls specialise in one perfectly executed dish only. Vietnamese food is light and fresh with few spices. If you like your food hot you’ll find fresh and dried chilies on the table to add to taste. There are restaurants catering to tourists at every price point. Fresh, steamed and fried spring rolls are a favourite. You’ll find incredible fresh seafood in Central Vietnam with prawns costing little. Vegetarians, even vegans, are pretty well catered for in Vietnam too."
22,Vaccinations for Vietnam and Health,,"I’m happy to say that Vietnam is in the group that gave us zero ilnesses or tummy trouble. None of us have had any travellers diarrhoea or sickness in over 6 months in Vietnam. We’ve eaten everything, at every street food stall and had no trouble at all. We’re hugely impressed with how clean things are here compared to some other parts of the world. There are few flies, and few mosquitos, there are plenty of rats. If you get sick in Vietnam it’s easy to pop along to a pharmacy, there’s one on almost every street and the pharmacists are very helpful and know their stuff. We’ve had to buy treatment for ringworm ( picked up by one of the kids in London), mouth ulcers and dressings for bike-related scrapes, it’s been no trouble at all. I would suggest carrying a basic first aid kit with you. Beware of malaria in the rainy season."
23,"Hotels, Hostels, Guest Houses, Resorts and Apartments. Finding Them",,"The first time we visited Vietnam it was very much a backpacker destination, these days there are plenty of up-market hotels and resorts on offer too and the tourists are flooding to Vietnam. People like us, the digital nomads and long term travellers are also here and there are amazing bargains to be had in long-term, quality accommodation."
24,"Hotels, Hostels, Guest Houses, Resorts and Apartments. Finding Them",Finding the Best Prices and Deals on Hotels and Resorts in Vietnam,"We highly recommend checking booking engine if you’re serious about finding the best price for your stay. If you’re the sort to book a long time in advance, maybe reserving multiple hotels on a fully refundable basis, Booking.com is your friend. The Sunrise Resort is one of the luxury hotels we’ve tested on behalf of Luxury Escapes, an Australian company specialising on incredibly good offers on top end hotel packages. Their special offer prices are way below what we paid for these hotels and the quality was superb."
25,"Hotels, Hostels, Guest Houses, Resorts and Apartments. Finding Them",Hostels,"You will find a big selection of hostels, some have private family rooms, on all of the booking engine."
26,"Hotels, Hostels, Guest Houses, Resorts and Apartments. Finding Them","Long Term Stays, House and Apartments","We’ve booked hotels in Hoi An and Hue through Airbnb, both were good, small boutique style hotels or homestays. A homestay can be a hotel, hostel or actual homestay in Vietnam. We found our beautiful house for 2 months in Hoi An through a local expats Facebook group. We booked a cheap hotel for arrival and within half a day of posting in the expat group we’d found the perfect house for us at a great price."
